capital,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country,lat,lon
Copenhagen,2003,8.669315068493152,7.248050387496619,554.9,101,28.419999999999998,9,44342.16191780822,27667.56,2,Denmark,55.676111111,12.568888888
Dakar,2003,24.892876712328768,2.543852468817736,283.0,31,0.0,0,43684.6218630137,38631.38449315068,4,Senegal,14.672555555,-17.432
Dhaka,2003,25.29931506849315,3.9145517226012805,1878.6,174,0.0,0,43747.39923287671,32826.449863013695,3,Bangladesh,23.728888888,90.394444444
Djibouti City,2003,29.31150684931507,3.736827292995047,207.8,53,0.0,0,43667.382301369864,38680.60904109589,4,Djibouti,11.595,43.148055555
Doha,2003,27.392602739726026,6.333372499555373,36.1,11,0.0,0,43760.298684931506,39252.038821917806,4,Qatar,25.286205555,51.529436111
Dublin,2003,10.683424657534246,4.358899642873543,644.2,127,0.07,0,44249.81876712329,28043.732246575342,2,Ireland,53.349722222,-6.260277777
Freetown,2003,26.025342465753425,0.9439557318030307,3168.6,219,0.0,0,43651.90671232877,32523.236520547944,3,Sierra Leone,8.487222222,-13.235555555
Gaborone,2003,21.66191780821918,5.4994244597803466,331.7,43,0.0,0,43572.576273972605,38018.4222739726,4,Botswana,-24.656944444,25.908611111
Georgetown,2003,26.31027397260274,0.8070584435629214,1760.6,258,0.0,0,43644.151479452055,37335.751589041094,3,Guyana,6.805833333,-58.150833333
Gibraltar,2003,17.465205479452056,4.9322005179656285,854.4,79,0.0,0,43877.00246575342,36861.86263013699,1,Gibraltar,36.14,-5.35
Gitega,2003,19.512602739726027,1.240238841094531,445.5,104,0.0,0,43606.420849315065,37884.18789041096,1,Burundi,-3.428333333,29.925
Guatemala City,2003,19.30095890410959,1.4027956431491921,1644.3,190,0.0,0,43684.6218630137,37587.26019178082,1,Guatemala,14.641666666,-90.513333333
Havana,2003,26.475890410958907,2.8752008222343397,663.0,127,0.0,0,43742.88723287671,38046.882410958904,1,Cuba,23.136666666,-82.358888888
Helsinki,2003,5.244109589041096,9.44850267741403,426.8,85,104.02,33,44597.000712328765,25005.924821917808,0,Finland,60.170833333,24.9375
Honiara,2003,26.83958904109589,0.5382369426869343,2474.4,286,0.0,0,43590.72561643836,35247.26687671233,3,Solomon Islands,-9.433333,159.95
Islamabad,2003,20.14178082191781,7.523089064520506,1253.9,103,0.0,0,43845.914657534246,36831.047150684935,1,Pakistan,33.698888888,73.036944444
Jakarta,2003,26.721232876712328,0.6507032231597136,1734.5,214,0.0,0,43598.71635616438,36311.17424657534,3,Indonesia,-6.175277777,106.826944444
Jerusalem,2003,17.486438356164385,6.946897356679387,193.8,38,0.0,0,43824.06008219178,39216.336027397265,4,Israel,31.778888888,35.225555555
Kabul,2003,13.136712328767123,10.076444495307756,246.1,41,37.24,10,43856.20263013699,38040.08161643835,2,Afghanistan,34.532777777,69.165833333
Kathmandu,2003,16.86054794520548,4.450502160335506,2966.9,184,0.0,0,43782.42131506849,32428.06093150685,3,Nepal,27.71,85.32
Kigali,2003,19.493561643835616,0.9614154655641141,665.1,124,0.0,0,43610.980657534245,37403.82589041095,1,Rwanda,-1.953611111,30.060555555
Kingston,2003,26.724246575342466,1.1365831262031914,826.6,155,0.0,0,43705.20512328767,39185.36961643836,1,Jamaica,17.971388888,-76.793055555
Kingstown,2003,26.936986301369863,0.7307806396029053,963.6,174,0.0,0,43676.162657534245,39269.6615890411,1,Saint Vincent and the Grenadines,13.15527,-61.22742
Kinshasa,2003,26.00109589041096,0.877041670861835,930.6,159,0.0,0,43603.743287671234,33931.135972602744,1,Democratic Republic of the Congo,-4.321944444,15.311944444
