capital,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine
Cetinje,2023,13.150684931506849,7.144920067526175,2493.1,164,57.53999999999999,8,43971.99953424658,33241.38854794521
Cetinje,2024,13.86707650273224,7.468613003555014,2207.4,151,22.049999999999997,3,43941.968415300544,34179.79543715847
Chișinău,1995,9.761780821917808,9.402816877221115,557.2,80,65.1,16,44067.792684931504,28444.75857534247
Chișinău,1996,8.82158469945355,10.740116129174247,502.7,85,118.3,29,44031.67218579235,25882.732267759562
Chișinău,1997,9.06972602739726,9.25540872053058,583.1,92,38.64,9,44067.74884931507,28966.37805479452
Chișinău,1998,10.005342465753424,9.504907217580433,498.7,80,47.67,13,44067.328246575344,28606.939808219176
Chișinău,1999,11.042739726027397,9.238939520436917,492.6,83,65.03,10,44067.11008219178,28848.629205479454
Chișinău,2000,11.104918032786886,8.941963736938046,394.4,74,45.64,13,44031.33428961749,29015.578661202184
Chișinău,2001,10.223835616438356,9.793490301245827,491.2,74,80.99,15,44066.98115068493,29503.066602739727
Chișinău,2002,10.881643835616439,9.740598737957404,492.2,86,39.55,13,44066.93463013699,29754.402438356166
Chișinău,2003,9.884246575342466,10.297568116543722,356.3,65,61.46,17,44067.25750684932,29177.055671232876
Chișinău,2004,10.338934426229509,9.022835973153231,477.7,70,69.09,17,44031.162650273225,28523.204972677595
Chișinău,2005,10.58027397260274,9.197947987321957,548.8,84,51.03,15,44067.33150684932,28470.33295890411
Chișinău,2006,10.206301369863015,10.079175641500816,363.0,67,71.05,15,44067.1138630137,29376.68906849315
Chișinău,2007,11.955890410958903,9.504311461730595,433.3,62,64.4,14,44067.15531506849,30782.661561643836
Chișinău,2008,11.346311475409836,8.61474882491741,559.6,80,31.29,8,44031.58530054645,28844.876256830605
Chișinău,2009,11.4086301369863,9.35152192982695,320.9,66,56.63,11,44067.08282191781,29363.074328767125
Chișinău,2010,10.766164383561645,10.499414508811853,593.4,101,90.79,22,44066.851972602744,28537.85090410959
Chișinău,2011,10.390684931506849,9.505408138014875,379.5,59,26.67,6,44067.04819178082,29803.607287671235
Chișinău,2012,11.246311475409835,11.833262559238172,380.9,65,93.66,20,44030.97387978142,30984.002404371586
Chișinău,2013,11.425890410958903,9.02391858846554,532.0,79,45.99,10,44067.00550684932,27735.85109589041
Chișinău,2014,11.116301369863013,9.549756269090672,427.9,71,57.05,13,44066.713808219174,28510.772904109588
Chișinău,2015,11.923287671232877,9.400526355206393,451.1,75,18.55,7,44066.79378082192,28816.419835616438
Chișinău,2016,11.29931693989071,9.31686970908074,544.0,80,50.82,13,44031.29844262295,29045.14825136612
Chișinău,2017,11.287123287671234,9.473025538635346,470.3,79,73.5,12,44066.85676712329,30046.036
Chișinău,2018,11.47219178082192,10.305319794262578,354.4,66,88.13,15,44066.84879452055,29530.939753424656
Chișinău,2019,12.373424657534247,9.03817639074772,316.6,70,51.31,13,44067.28652054795,30080.607780821916
Chișinău,2020,12.656830601092896,8.33075798217226,485.5,80,5.53,1,44031.273278688524,30956.870792349728
Chișinău,2021,10.587397260273972,8.763899796078611,525.4,96,56.629999999999995,14,44067.06758904109,29031.90016438356
Chișinău,2022,11.816027397260275,8.843698280977343,447.2,71,19.18,5,44066.566191780825,30309.819452054795
Chișinău,2023,12.968493150684932,8.951274185072986,447.9,73,35.56,7,44066.531424657536,29849.219506849313
Chișinău,2024,13.064754098360655,9.121562640680592,560.0,70,43.4,5,44030.843743169404,29615.64213114754
City of Brussels,1995,11.052465753424658,6.638842118365802,698.1,127,10.290000000000001,3,44169.72002739726,27012.3281369863
City of Brussels,1996,9.145628415300546,6.536130983552062,642.5,112,19.74,6,44127.8024863388,24984.818770491802
City of Brussels,1997,10.682054794520548,6.439717282482825,654.3,131,1.4000000000000001,0,44169.67095890411,26639.52726027397
