capital,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,cluster,country,lat,lon
Luanda,2011,26.119041095890413,2.032713341454289,656.2,86,0.0,0,43592.16945205479,32541.100219178083,1,Angola,-8.838333333,13.234444444
Luxembourg,2011,10.14972602739726,6.054091108952855,614.3,109,13.58,4,44132.64282191781,28001.640684931506,2,Luxembourg,49.610555555,6.132777777
Majuro,2011,26.718082191780823,0.47424218767061666,3727.0,314,0.0,0,43645.385753424656,34414.22419178082,3,Marshall Islands,7.0918,171.3802
Malabo,2011,26.443287671232873,0.9238611266330219,5354.9,353,0.0,0,43631.369479452056,32651.976465753425,3,Equatorial Guinea,3.752063888,8.7737
Malé,2011,27.130000000000003,0.6664424989416597,1302.1,159,0.0,0,43633.065287671234,37054.58783561644,1,Maldives,4.175,73.508333333
Managua,2011,27.75260273972603,1.1168108876545175,1100.0,142,0.0,0,43670.338575342466,36827.62290410959,1,Nicaragua,12.156383333,-86.272986111
Manama,2011,25.580000000000002,6.584554437686517,76.4,12,0.0,0,43768.80969863013,39010.82621917808,4,Bahrain,26.225,50.5775
Manila,2011,26.554383561643835,1.1502603459501264,1917.9,193,0.0,0,43684.15890410959,32941.60589041096,1,Philippines,14.595833333,120.977222222
Maputo,2011,22.87013698630137,3.1435196262348795,609.0,73,0.0,0,43572.658465753426,35882.09408219178,1,Mozambique,-25.915277777,32.576388888
Maseru,2011,13.73904109589041,5.789282007804503,960.7,107,0.35000000000000003,0,43574.041041095894,37005.802,1,Lesotho,-29.31,27.48
Mexico City,2011,16.36958904109589,2.2850730615415493,1678.4,175,0.0,0,43714.646602739725,37731.53326027397,1,Mexico,19.353773,-99.13589
Minsk,2011,6.76945205479452,9.815805947665627,521.2,91,59.29,20,44270.264575342466,26264.006602739726,0,Belarus,53.902246,27.561837
Monrovia,2011,26.13643835616438,0.935657155591981,3496.5,308,0.0,0,43641.952849315065,34367.24994520548,3,Liberia,6.310555555,-10.804722222
Moroni,2011,26.913150684931505,1.1898689519590222,1212.0,209,0.0,0,43586.11819178082,39254.51969863014,1,Comoros,-11.703611111,43.253611111
Moscow,2011,5.596164383561644,11.505012002674967,394.1,76,106.26,33,44348.08421917808,25237.109260273974,0,Russia,55.750555555,37.6175
Muscat,2011,27.50917808219178,4.612242355121357,254.8,12,0.0,0,43746.180904109584,39136.37852054794,4,Oman,23.613888888,58.592222222
N'Djamena,2011,29.20260273972603,3.728881938976833,437.2,66,0.0,0,43670.338575342466,38526.29523287671,4,Chad,12.11,15.05
Nairobi,2011,19.624520547945206,1.3355073130576502,568.0,100,0.0,0,43613.02424657534,37127.49665753425,1,Kenya,-1.286388888,36.817222222
Naypyidaw,2011,25.30068493150685,2.466321129576479,1881.3,184,0.0,0,43717.09646575343,32001.960000000003,1,Myanmar,19.7475,96.115
New Delhi,2011,24.51095890410959,6.450225987263396,657.2,86,0.0,0,43791.07964383562,36696.07394520548,4,India,28.613888888,77.208888888
Ngerulmud,2011,26.54082191780822,0.5234520702489963,3954.6,329,0.0,0,43647.29906849315,32563.57010958904,3,Palau,7.500556,134.624167
Niamey,2011,29.522739726027396,3.7611359417310632,122.6,26,0.0,0,43678.09079452055,39631.12660273973,4,Niger,13.515,2.1175
Nicosia,2011,19.81753424657534,7.160902465690839,464.40000000000003,69,0.0,0,43864.03402739726,39149.27052054794,4,Cyprus,35.1725,33.365
Nouakchott,2011,26.06945205479452,3.735945049544612,19.9,5,0.0,0,43706.07323287671,39507.025835616434,4,Mauritania,18.08581,-15.9785
Nuuk,2011,-5.157123287671233,10.106087883359562,304.8,46,239.05,66,45043.08605479452,23841.943917808218,0,Greenland,64.175,-51.733333333
Oranjestad,2011,26.97876712328767,1.014859305473007,1041.4,169,0.0,0,43672.62473972602,38951.586547945204,1,Aruba,12.518611111,-70.035833333
Oslo,2011,6.606027397260274,8.418359831463285,827.1,104,135.38,29,44581.221698630136,26155.46271232877,0,Norway,59.913333333,10.738888888
Ottawa,2011,7.893424657534246,11.624890903325735,869.0,101,150.64,34,44032.72728767124,27595.419945205478,0,Canada,45.424722222,-75.695
Ouagadougou,2011,28.98246575342466,2.9385827585132978,414.1,66,0.0,0,43671.47750684932,38881.13958904109,4,Burkina Faso,12.368611111,-1.5275
Palikir,2011,24.027397260273972,0.47040439522544497,4148.1,334,0.0,0,43644.75416438356,33883.5773150685,3,Federated States of Micronesia,6.917777777,158.185
Panama City,2011,26.093835616438355,0.8173406188300745,2355.1,261,0.0,0,43654.22583561644,32584.363369863015,3,Panama,8.971111111,-79.534722222
Paris,2011,12.492328767123286,5.611018281502165,571.1,101,0.0,0,44111.98887671233,27534.007287671233,2,France,48.856666666,2.352222222
Philipsburg,2011,26.051369863013697,1.216924283481369,1075.3,162,0.0,0,43705.60805479452,37834.019534246574,1,Sint Maarten,18.024166666,-63.043333333
Phnom Penh,2011,28.186849315068496,1.3458032822386883,1312.5,183,0.0,0,43667.34219178082,34649.32309589041,1,Cambodia,11.569583333,104.921027777
Port Louis,2011,25.235479452054797,1.8556144691060639,804.7,186,0.0,0,43574.65920547945,39651.41449315068,1,Mauritius,-20.161944444,57.498888888
Port Moresby,2011,26.265205479452053,1.0025970529177426,2231.3,229,0.0,0,43590.75005479452,33815.72810958904,3,Papua New Guinea,-9.478888888,147.149444444
Port-au-Prince,2011,27.5841095890411,1.647302853531783,1210.0,174,0.0,0,43708.8886849315,38663.93306849315,1,Haiti,18.546944444,-72.340277777
Porto-Novo,2011,26.864383561643837,1.2816134087155007,1194.2,213,0.0,0,43642.879534246575,34445.82224657534,1,Benin,6.483333333,2.616666666
Prague,2011,10.26904109589041,7.690250921966847,513.4,91,11.13,3,44146.352739726026,28727.6878630137,2,Czech Republic,50.0875,14.421388888
Praia,2011,24.825753424657535,1.8023777928792697,167.6,22,0.0,0,43686.2315890411,39247.145260273974,4,Cape Verde,14.917719444,-23.509155555
Prishtina,2011,11.313287671232878,8.891205689448018,375.3,70,64.19,21,43977.51276712329,33360.35665753425,2,Kosovo,42.666666666,21.166666666
Pyongyang,2011,10.396575342465754,10.97935040052562,1088.9,90,11.2,3,43917.891726027396,28878.083753424657,2,North Korea,39.016666666,125.7475
Quito,2011,12.302191780821918,0.9736546742339068,2581.0,330,0.0,0,43616.54904109589,29014.681808219175,3,Ecuador,-0.22,-78.5125
Rabat,2011,19.027397260273972,4.935610405539239,447.3,62,0.0,0,43850.0294520548,38066.04326027397,4,Morocco,34.025277777,-6.836111111
Reykjavík,2011,4.494109589041096,5.8551587650362995,1100.1,177,174.58,56,45043.08605479452,24277.632931506847,0,Iceland,64.1475,-21.935
Riga,2011,7.66109589041096,9.449602811823324,525.8,106,70.56,20,44404.65682191781,28344.707534246576,0,Latvia,56.9475,24.106944444
Riyadh,2011,25.35301369863014,8.797914601326239,60.5,9,0.0,0,43754.84649315069,38786.207643835616,4,Saudi Arabia,24.65,46.71
Rome,2011,15.807808219178083,6.706269669138497,682.3,81,0.0,0,43963.72882191781,36232.73893150685,4,Italy,41.893055555,12.482777777
Roseau,2011,26.15027397260274,1.0476425295814136,1284.8,196,0.0,0,43688.32953424657,37947.562082191784,1,Dominica,15.3,-61.383333333
San José,2011,20.622876712328768,1.038491984990863,3067.4,239,0.0,0,43659.048465753425,29453.92684931507,3,Costa Rica,9.932738888,-84.079613888
San Marino,2011,11.859726027397262,7.491528727301629,654.0,97,110.81,12,44001.31347945205,34454.19460273972,2,San Marino,43.932011111,12.44845
San Salvador,2011,23.95328767123288,1.0031695029421999,1354.7,146,0.0,0,43678.8874520548,36401.02191780822,1,El Salvador,13.697597222,-89.191155555
Santiago,2011,16.3,5.739189551086175,310.4,47,0.49,0,43578.80767123288,37662.432931506846,4,Chile,-33.4375,-70.65
Santo Domingo,2011,25.212191780821918,1.100696890355263,1111.3,181,0.0,0,43708.416328767125,37396.83873972603,1,Dominican Republic,18.4625,-69.936111111
Sarajevo,2011,10.398082191780823,8.737079732151539,486.8,84,114.45,30,43999.948547945205,30509.17901369863,0,Bosnia and Herzegovina,43.856388888,18.413055555
Singapore,2011,26.72178082191781,0.7272735145843044,2838.1,294,0.0,0,43621.99726027397,32928.067506849315,3,Singapore,1.3,103.8
Skopje,2011,13.531506849315068,9.163040558876009,242.8,53,27.23,8,43966.19430136986,34499.647589041095,2,North Macedonia,41.996111111,21.431666666
Sofia,2011,10.465479452054796,9.08878369881745,361.0,69,69.23,24,43978.79350684932,33642.52178082192,2,Bulgaria,42.697886,23.321726
South Tarawa,2011,26.835479452054795,0.5134537255541272,944.9,158,0.0,0,43621.99726027397,39437.20953424658,1,Kiribati,1.333333333,172.966666666
St. George's,2011,26.698630136986303,0.8313307137852376,1551.2,224,0.0,0,43669.96098630137,38189.687917808216,1,Grenada,12.0525,-61.753055555
St. John's,2011,26.387534246575346,1.140381154738274,1222.0,175,0.0,0,43699.663561643836,38085.15175342466,1,Antigua and Barbuda,17.121111111,-61.844722222
Suva,2011,24.87178082191781,1.3205105806419066,2676.0,279,0.0,0,43576.54660273973,33954.60578082192,3,Fiji,-18.133333333,178.433333333
Tallinn,2011,6.899041095890412,9.310114605529126,553.7,114,79.03,29,44547.10326027397,27346.016383561644,0,Estonia,59.437222222,24.745
Tbilisi,2011,11.913150684931507,9.254923975547594,307.5,78,56.910000000000004,17,43961.28087671233,31318.448602739725,2,Georgia,41.7225,44.7925
Tegucigalpa,2011,22.641917808219176,1.7987279216388183,1281.7,153,0.0,0,43681.29950684932,37476.25495890411,1,Honduras,14.105783333,-87.204705555
Tehran,2011,14.655616438356164,12.01705358586052,369.1,67,42.35,11,43870.37983561644,37478.336246575345,2,Iran,35.688888888,51.389722222
Thimphu,2011,10.548082191780823,5.479737565288573,4885.5,317,37.45,6,43779.68975342466,26595.444191780825,3,Bhutan,27.47135,89.63367
Tirana,2011,15.586712328767122,6.7744628055942995,634.5,79,0.14,0,43954.04241095891,36557.49564383562,4,Albania,41.328888888,19.817777777
Tokyo,2011,15.0586301369863,8.605600545905126,1251.2,123,30.8,6,43870.37983561644,29612.08909589041,2,Japan,35.689444444,139.691666666
Tripoli,2011,20.382739726027395,5.523744017221078,174.6,41,0.0,0,43835.86641095891,38115.8593150685,4,Libya,32.87519,13.18746
Tórshavn,2011,7.526164383561644,3.0709502190086178,907.2,196,45.29,12,44760.81876712329,23299.613232876713,0,Faroe Islands,62.00981,-6.77135
Ulaanbaatar,2011,-0.0043835616438356205,13.738204529654885,243.0,43,98.84,17,44088.87690410959,34092.16079452055,2,Mongolia,47.921357,106.905515
Vaduz,2011,10.608356164383562,6.905683678724405,1184.4,124,85.19,24,44070.3273150685,30597.933452054796,2,Liechtenstein,47.140555555,9.522222222
Valletta,2011,18.753013698630138,4.852124176537228,559.5,72,0.0,0,43873.14197260274,37658.08380821918,4,Malta,35.897777777,14.5125
Victoria,2011,26.303561643835614,0.721777358032739,1345.6,186,0.0,0,43602.951643835615,38198.002821917806,1,Seychelles,-4.623611111,55.454444444
Vienna,2011,10.923013698630138,8.16827010431613,489.9,83,7.91,3,44095.84534246576,30562.666191780823,2,Austria,48.208333333,16.3725
Vientiane,2011,24.921643835616436,3.228584988295114,2115.1,163,0.0,0,43705.14378082192,31102.564301369865,1,Laos,17.98,102.63
Vilnius,2011,7.524383561643836,9.353170994623914,521.1,107,65.94,23,44300.401671232874,25915.8597260274,0,Lithuania,54.687222222,25.28
Warsaw,2011,8.942602739726027,8.450797320371167,591.2,94,33.6,12,44210.78871232877,26735.114465753424,2,Poland,52.23,21.011111111
Wellington,2011,13.181917808219177,3.0012088487250486,962.2,125,2.38,1,43600.14553424657,32392.996438356164,1,New Zealand,-41.288888888,174.777222222
Windhoek,2011,17.848767123287672,4.469030165337489,1055.0,100,0.21,0,43573.17934246576,38065.248493150684,1,Namibia,-22.57,17.083611111
Yamoussoukro,2011,27.024794520547943,1.262196660968059,887.4,161,0.0,0,43644.126000000004,32894.44583561644,1,Ivory Coast,6.816111111,-5.274166666
Yaoundé,2011,24.099589041095893,1.0675372685109323,1586.2,222,0.0,0,43631.65008219178,30356.128301369863,3,Cameroon,3.857777777,11.518055555
Yaren District,2011,26.96821917808219,0.4745337285391833,849.3,142,0.0,0,43615.594000000005,39967.72610958904,1,Nauru,-0.5477,166.920867
Yerevan,2011,10.063561643835616,9.947487170944589,638.9,119,44.31,10,43935.46950684931,36909.356931506845,2,Armenia,40.181388888,44.514444444
Zagreb,2011,12.365890410958905,8.651566083793325,499.0,74,12.74,4,44040.256712328766,31705.304520547947,2,Croatia,45.813055555,15.977222222
