capital,season,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine
Tallinn,Summer,2021,18.23858695652174,3.502943058240963,205.4,36,0.0,0,62016.7302173913,47703.03369565217
Tallinn,Summer,2022,18.07445652173913,3.530989141412106,201.1,33,0.0,0,62053.968260869566,45600.511413043474
Tallinn,Summer,2023,16.580434782608698,2.7986256097220754,287.2,40,0.0,0,62092.150652173914,46586.776847826084
Tallinn,Summer,2024,17.52880434782609,2.2515346865673767,317.7,48,0.0,0,61974.36369565217,45791.330652173914
Tallinn,Winter,1995,-3.221111111111111,4.216853410322065,38.4,14,59.01,20,26657.079555555556,8270.161666666667
Tallinn,Winter,1996,-6.867582417582418,5.624358598623459,8.6,3,53.62,16,26723.842527472527,6920.325824175824
Tallinn,Winter,1997,-3.5861111111111112,4.255894971681927,38.800000000000004,10,62.019999999999996,22,26736.721222222222,7574.109
Tallinn,Winter,1998,-2.3705555555555553,4.754967210300846,42.2,14,78.12,29,26697.69722222222,6240.653333333334
Tallinn,Winter,1999,-3.9555555555555557,5.811744426882151,63.4,17,106.96,30,26658.879333333334,5283.596111111111
Tallinn,Winter,2000,-1.2703296703296705,4.5052375570734835,76.0,16,47.11,17,26726.211098901098,7806.265164835165
Tallinn,Winter,2001,-4.634444444444445,5.248422151575516,14.8,5,70.56,28,26737.97288888889,6826.8386666666665
Tallinn,Winter,2002,-3.505,4.863929666201272,50.4,14,55.16,16,26699.219222222222,8019.157222222222
Tallinn,Winter,2003,-4.245555555555556,6.284234976387495,60.4,14,57.54,17,26661.650444444444,6885.903888888889
Tallinn,Winter,2004,-3.8868131868131868,4.393023731913762,36.0,7,49.84,14,26728.719010989014,7817.850329670329
Tallinn,Winter,2005,-3.083888888888889,4.112940852896588,48.8,14,45.15,17,26741.358666666663,7900.704111111111
Tallinn,Winter,2006,-2.8333333333333335,7.120065805780992,44.1,11,29.400000000000002,13,26703.03788888889,7785.341222222221
Tallinn,Winter,2007,-2.888888888888889,6.7477827310360565,85.1,18,40.04,12,26666.26444444444,8515.872333333333
Tallinn,Winter,2008,0.3747252747252747,2.688807807130778,92.9,23,39.48,15,26735.664175824175,6756.365494505495
Tallinn,Winter,2009,-3.6950000000000003,4.465724962220832,19.6,5,56.21,18,26747.69011111111,6832.090777777778
Tallinn,Winter,2010,-8.757777777777779,4.398185984023689,1.4,0,101.78,29,26709.865555555556,4799.473444444444
Tallinn,Winter,2011,-3.7688888888888887,6.733388122297209,88.39999999999999,20,60.69,24,26674.32833333333,8265.857444444446
Tallinn,Winter,2012,-6.682967032967032,5.884363553710329,32.5,9,103.95,36,26743.139780219783,5802.22989010989
Tallinn,Winter,2013,-1.858888888888889,4.367246437767139,47.0,14,51.31,18,26755.505888888885,6497.655888888889
Tallinn,Winter,2014,-2.527222222222222,5.619569344085343,67.1,17,47.25,15,26717.069111111112,5896.779222222222
Tallinn,Winter,2015,0.6155555555555555,3.661925603571484,83.4,23,42.0,13,26680.652888888886,7749.117333333334
Tallinn,Winter,2016,-2.673626373626374,5.948077843860993,63.1,15,59.15,23,26749.253956043955,7429.309450549451
Tallinn,Winter,2017,-1.048888888888889,3.5467897953902123,53.5,12,52.71,17,26759.559999999998,7990.186555555556
Tallinn,Winter,2018,-3.2666666666666666,4.142123973426671,27.3,10,49.910000000000004,16,26720.91211111111,5278.345777777778
Tallinn,Winter,2019,-0.8294444444444445,4.019306598231436,78.5,17,77.63,28,26684.68911111111,6620.719444444445
Tallinn,Winter,2020,1.2835164835164834,2.4875138742779455,134.9,24,37.73,12,26751.554725274724,7813.046923076923
Tallinn,Winter,2021,-4.304444444444444,4.8609290994996055,30.4,8,90.72,29,26761.337777777775,4138.900666666666
Tallinn,Winter,2022,-2.261111111111111,3.19415528192411,39.300000000000004,14,124.88,38,26722.023666666664,6032.736777777778
Tallinn,Winter,2023,-2.102777777777778,3.6079216924465616,41.9,11,105.07,30,26685.754666666668,4250.155555555555
Tallinn,Winter,2024,-2.496153846153846,5.674055138029741,76.2,16,55.86,22,26754.14076923077,6246.159340659341
Tbilisi,Autumn,1995,12.765384615384617,6.163786229563831,61.6,14,0.77,0,40145.85395604395,32134.58054945055
Tbilisi,Autumn,1996,12.51978021978022,5.647398019938421,94.0,19,0.0,0,40032.725824175825,30353.34934065934
Tbilisi,Autumn,1997,12.536813186813186,4.82620644194471,43.7,16,0.0,0,40068.61461538462,29474.41
Tbilisi,Autumn,1998,14.102197802197802,5.5689861040503805,69.5,13,2.24,1,40104.89604395605,28757.28230769231
Tbilisi,Autumn,1999,12.231868131868131,6.36209048664001,150.9,26,7.0,1,40141.8689010989,28491.05164835165
Tbilisi,Autumn,2000,12.605494505494505,6.421342238320277,113.6,24,0.0,0,40028.74120879121,24553.30912087912
Tbilisi,Autumn,2001,13.332417582417582,6.692530552897399,34.1,10,0.0,0,40063.7632967033,30457.4710989011
Tbilisi,Autumn,2002,14.273626373626374,5.836453168850542,46.7,12,0.0,0,40100.18,30132.291758241758
Tbilisi,Autumn,2003,13.498351648351647,5.704347516244133,123.5,17,0.0,0,40136.71010989011,26838.744835164835
Tbilisi,Autumn,2004,13.485714285714286,6.008176307306777,72.60000000000001,16,0.84,0,40022.71714285714,29189.666593406597
Tbilisi,Autumn,2005,13.130219780219779,5.600703721264159,85.2,20,0.0,0,40058.495604395604,27854.518351648352
Tbilisi,Autumn,2006,13.554945054945055,6.560407570947668,107.60000000000001,22,0.7700000000000001,0,40094.7889010989,29049.85087912088
Tbilisi,Autumn,2007,14.22032967032967,7.249210600786425,122.89999999999999,20,1.8200000000000003,1,40131.20285714286,26743.20967032967
Tbilisi,Autumn,2008,13.73846153846154,5.570243745529933,69.9,10,0.0,0,40017.85428571428,27209.806483516484
Tbilisi,Autumn,2009,14.028571428571427,5.074244020635226,142.2,21,0.0,0,40053.187472527476,29438.254285714287
Tbilisi,Autumn,2010,14.97087912087912,5.712126797602841,95.6,15,0.0,0,40090.03197802198,29034.50945054945
Tbilisi,Autumn,2011,11.54010989010989,7.450917988857405,62.1,18,4.69,1,40126.69813186813,27790.64285714286
Tbilisi,Autumn,2012,14.991758241758241,4.888298179986478,60.699999999999996,15,0.0,0,40013.28087912088,26772.98901098901
Tbilisi,Autumn,2013,13.441208791208792,4.796112971323722,56.1,13,0.0,0,40049.89054945055,30846.943296703295
Tbilisi,Autumn,2014,12.727472527472528,6.640759092052752,128.2,28,2.52,1,40086.509340659344,25625.503076923076
Tbilisi,Autumn,2015,14.382417582417581,6.965946428584535,108.5,20,0.0,0,40122.85395604395,28477.315714285713
Tbilisi,Autumn,2016,11.642857142857142,6.90909453558043,128.4,20,2.59,1,40010.07461538462,26787.34285714286
Tbilisi,Autumn,2017,15.253846153846153,7.016695291981324,130.5,23,0.98,0,40046.02472527473,28953.833956043956
Tbilisi,Autumn,2018,15.801098901098902,5.887604578085017,138.3,22,0.0,0,40082.93010989011,29792.583076923078
Tbilisi,Autumn,2019,14.756043956043955,5.562068136368161,123.60000000000001,23,0.0,0,40119.01659340659,31440.220329670326
Tbilisi,Autumn,2020,15.805494505494504,6.458329894835429,118.5,23,9.379999999999999,2,40005.33494505494,30594.180989010987
Tbilisi,Autumn,2021,13.832967032967032,5.594278921760754,124.7,24,0.21,0,40041.633296703294,27866.904175824173
Tbilisi,Autumn,2022,16.073076923076925,5.989603528394046,86.3,22,0.0,0,40077.41901098901,29573.172857142858
Tbilisi,Autumn,2023,15.592857142857143,4.713500535863695,158.9,19,0.0,0,40112.957582417584,30217.49714285714
Tbilisi,Autumn,2024,13.989560439560439,6.130604086980865,176.9,26,1.4,0,39999.8710989011,29021.805384615385
Tbilisi,Spring,1995,11.631521739130434,5.54616844966412,110.3,19,6.23,2,47760.73456521739,34561.233260869565
Tbilisi,Spring,1996,10.346195652173913,5.680350910533087,106.2,25,6.58,2,47871.51445652174,28901.311413043477
Tbilisi,Spring,1997,9.971739130434782,7.047419075342895,84.6,19,12.32,3,47835.922826086964,35594.63652173913
Tbilisi,Spring,1998,12.083695652173914,5.8022310444489955,101.8,22,0.35000000000000003,0,47800.215000000004,34771.38413043478
Tbilisi,Spring,1999,10.51141304347826,4.54068968511737,169.1,23,11.34,3,47763.536195652174,32153.636195652172
Tbilisi,Spring,2000,11.382608695652175,6.083297412229476,73.4,18,5.46,2,47874.80239130435,37189.5175
Tbilisi,Spring,2001,11.582608695652173,3.5401033292069326,159.2,30,0.14,0,47839.270760869564,32755.11141304348
Tbilisi,Spring,2002,10.777717391304348,3.6232412492164925,203.2,38,0.56,0,47803.824347826085,30437.93163043478
Tbilisi,Spring,2003,9.401630434782607,6.3645543644095826,130.7,30,13.51,5,47768.767173913046,31548.527717391302
Tbilisi,Spring,2004,10.795652173913044,4.976503319026414,141.0,28,2.87,1,47880.27347826087,33271.60630434782
Tbilisi,Spring,2005,10.9875,5.563512532860575,157.8,24,9.45,3,47845.37695652174,32084.54695652174
Tbilisi,Spring,2006,11.644565217391303,4.7068657855490725,121.5,27,0.14,0,47810.09108695652,30150.649782608692
Tbilisi,Spring,2007,10.140760869565218,5.7706910538419525,170.2,35,5.53,1,47774.200869565226,30287.441413043478
Tbilisi,Spring,2008,12.832065217391303,4.19078385440973,112.5,22,0.07,0,47886.353043478266,35781.239130434784
Tbilisi,Spring,2009,10.42282608695652,4.620584694005384,75.1,21,3.7800000000000002,1,47850.82347826087,34978.79913043478
Tbilisi,Spring,2010,11.221739130434784,4.45357804262468,215.6,37,0.42,0,47814.5772826087,31603.83456521739
Tbilisi,Spring,2011,10.1875,5.3618392418036045,164.5,35,7.98,3,47778.66217391304,30692.77956521739
Tbilisi,Spring,2012,12.336413043478261,6.712703649727044,99.1,23,5.6,3,47889.741630434786,36405.372282608696
Tbilisi,Spring,2013,12.109782608695651,5.082674942154602,154.7,26,2.17,0,47853.973913043475,33600.47173913044
Tbilisi,Spring,2014,12.78804347826087,5.394107334133683,150.3,23,1.6099999999999999,0,47817.93913043479,34935.172173913044
Tbilisi,Spring,2015,10.74945652173913,4.822688449113186,171.9,37,5.390000000000001,1,47781.649456521736,32070.685217391303
Tbilisi,Spring,2016,12.559239130434783,4.597825150874316,129.1,30,1.33,1,47893.6075,35750.13717391305
Tbilisi,Spring,2017,12.609782608695651,4.343785754097044,131.9,30,0.35000000000000003,0,47857.83097826087,35632.679673913044
Tbilisi,Spring,2018,14.096739130434784,5.145214379219038,211.9,33,1.6099999999999999,1,47821.74619565218,33992.597499999996
Tbilisi,Spring,2019,12.809239130434783,5.761233314562569,202.79999999999998,29,10.36,4,47786.70663043478,32445.588260869565
Tbilisi,Spring,2020,12.721739130434784,4.6826034387044,190.7,33,16.94,3,47898.76163043478,31613.000760869563
Tbilisi,Spring,2021,13.145108695652173,6.367362090226646,165.8,25,21.21,4,47863.09336956521,37008.08652173913
Tbilisi,Spring,2022,11.281521739130437,6.385142082765631,217.2,24,49.63,13,47827.17934782609,32581.96554347826
Tbilisi,Spring,2023,14.30163043478261,4.378741421156228,220.8,35,2.8,1,47791.251739130435,31964.17586956522
Tbilisi,Spring,2024,13.542391304347827,5.129884082739213,221.2,33,0.0,0,47903.4922826087,32330.93586956522
Tbilisi,Summer,1995,22.689673913043475,2.0863441136664584,96.2,15,0.0,0,52594.127934782606,40481.205108695656
Tbilisi,Summer,1996,22.583152173913046,3.524196402625844,80.0,19,0.0,0,52540.25228260869,41591.948369565216
Tbilisi,Summer,1997,22.67065217391304,2.5589441522610112,75.5,20,0.0,0,52557.829021739126,40490.05532608696
Tbilisi,Summer,1998,24.86304347826087,2.6983701792864694,37.1,13,0.0,0,52574.617608695655,42936.47652173913
Tbilisi,Summer,1999,24.296739130434784,3.6384455407738714,44.4,7,0.0,0,52592.16076086956,43105.40782608696
