capital,season,year,mean_temp,std_temp,rain_total,days_rain,snow_total,days_snow,mean_daylight,mean_sunshine,capital_in_season,cluster,country,lat,lon
Moroni,Autumn,1998,26.06153846153846,0.7622363632786563,89.7,30,0.0,0,44457.055824175826,41674.40417582417,Moroni_in_Autumn,4,Comoros,-11.703611111,43.253611111
Moroni,Spring,1998,28.275000000000002,0.8371360124237306,312.5,66,0.0,0,42693.536630434784,38384.66336956521,Moroni_in_Spring,3,Comoros,-11.703611111,43.253611111
Moroni,Summer,1998,25.49402173913043,0.8424468024194909,104.8,41,0.0,0,41635.86869565217,37775.43097826087,Moroni_in_Summer,3,Comoros,-11.703611111,43.253611111
Moroni,Winter,1998,28.230555555555554,0.8663722130156544,573.1,62,0.0,0,45611.29511111111,38591.01122222222,Moroni_in_Winter,3,Comoros,-11.703611111,43.253611111
Moscow,Autumn,1998,1.8153846153846152,10.296560084448085,115.2,22,27.51,10,37788.06274725275,15421.1778021978,Moscow_in_Autumn,2,Russia,55.750555555,37.6175
Moscow,Spring,1998,3.6739130434782608,7.851658599403457,143.9,25,47.25,9,50821.53510869566,29754.818260869564,Moscow_in_Spring,2,Russia,55.750555555,37.6175
Moscow,Summer,1998,17.099456521739132,3.797696631036445,325.3,46,0.0,0,59170.47543478261,35596.47586956521,Moscow_in_Summer,1,Russia,55.750555555,37.6175
Moscow,Winter,1998,-7.944444444444445,7.047716358343703,4.7,1,73.71000000000001,22,29213.57411111111,7402.203555555555,Moscow_in_Winter,0,Russia,55.750555555,37.6175
Muscat,Autumn,1998,28.193406593406593,2.5592122137617253,0.0,0,0.0,0,41877.80659340659,38491.47,Muscat_in_Autumn,4,Oman,23.613888888,58.592222222
Muscat,Spring,1998,28.62826086956522,4.11413607255605,10.8,4,0.0,0,45606.12304347826,41500.585,Muscat_in_Spring,4,Oman,23.613888888,58.592222222
Muscat,Summer,1998,32.63315217391305,1.1630595586762464,0.0,0,0.0,0,47898.73847826087,42655.70445652174,Muscat_in_Summer,4,Oman,23.613888888,58.592222222
